design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,base,qwen4b,hit@1,0.657159,3471,0,18.996
per-variant,base,qwen4b,hit@5,0.847594,3471,0,18.996
per-variant,base,qwen4b,hit@10,0.899165,3471,0,18.996
per-variant,base,qwen4b,recall@10,0.899165,3471,0,18.996
per-variant,base,qwen4b,mrr@10,0.741669,3471,0,18.996
per-variant,base,qwen4b,category_hit/crosslingual,0.866197,3471,0,18.996
per-variant,base,qwen4b,category_hit/direct_long,0.971037,3471,0,18.996
per-variant,base,qwen4b,category_hit/direct_short,0.868673,3471,0,18.996
per-variant,base,qwen4b,category_hit/vague_long,0.909228,3471,0,18.996
per-variant,base,qwen4b,category_hit/vague_short,0.636746,3471,0,18.996
per-variant,base,qwen4b_hybrid_rerank,hit@1,0.764333,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,hit@5,0.907231,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,hit@10,0.936330,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,recall@10,0.936330,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,mrr@10,0.826925,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,category_hit/crosslingual,0.890141,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,category_hit/direct_long,0.989329,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,category_hit/direct_short,0.905609,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,category_hit/vague_long,0.966717,3471,0,1133.626
per-variant,base,qwen4b_hybrid_rerank,category_hit/vague_short,0.795231,3471,0,1133.626
per-variant,tok256,qwen4b,hit@1,0.695424,7801,0,8.024
per-variant,tok256,qwen4b,hit@5,0.877452,7801,0,8.024
per-variant,tok256,qwen4b,hit@10,0.910268,7801,0,8.024
per-variant,tok256,qwen4b,recall@10,0.910268,7801,0,8.024
per-variant,tok256,qwen4b,mrr@10,0.773633,7801,0,8.024
per-variant,tok256,qwen4b,category_hit/crosslingual,0.839766,7801,0,8.024
per-variant,tok256,qwen4b,category_hit/direct_long,0.954702,7801,0,8.024
per-variant,tok256,qwen4b,category_hit/direct_short,0.928899,7801,0,8.024
per-variant,tok256,qwen4b,category_hit/vague_long,0.859220,7801,0,8.024
per-variant,tok256,qwen4b,category_hit/vague_short,0.784934,7801,0,8.024
per-variant,tok256,qwen4b_hybrid_rerank,hit@1,0.749776,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,hit@5,0.902961,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,hit@10,0.930522,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,recall@10,0.930522,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,mrr@10,0.815330,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,category_hit/crosslingual,0.816374,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,category_hit/direct_long,0.970183,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,category_hit/direct_short,0.938647,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,category_hit/vague_long,0.888307,7801,0,287.368
per-variant,tok256,qwen4b_hybrid_rerank,category_hit/vague_short,0.856814,7801,0,287.368
per-variant,tok512,qwen4b,hit@1,0.708738,3605,0,7.458
per-variant,tok512,qwen4b,hit@5,0.908738,3605,0,7.458
per-variant,tok512,qwen4b,hit@10,0.947295,3605,0,7.458
per-variant,tok512,qwen4b,recall@10,0.947295,3605,0,7.458
per-variant,tok512,qwen4b,mrr@10,0.796226,3605,0,7.458
per-variant,tok512,qwen4b,category_hit/crosslingual,0.878788,3605,0,7.458
per-variant,tok512,qwen4b,category_hit/direct_long,0.968905,3605,0,7.458
per-variant,tok512,qwen4b,category_hit/direct_short,0.934161,3605,0,7.458
per-variant,tok512,qwen4b,category_hit/vague_long,0.894531,3605,0,7.458
per-variant,tok512,qwen4b,category_hit/vague_short,0.852315,3605,0,7.458
per-variant,tok512,qwen4b_hybrid_rerank,hit@1,0.792233,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,hit@5,0.945908,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,hit@10,0.973370,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,recall@10,0.973370,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,mrr@10,0.859781,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,category_hit/crosslingual,0.881119,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,category_hit/direct_long,0.982587,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,category_hit/direct_short,0.970186,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,category_hit/vague_long,0.946615,3605,0,495.964
per-variant,tok512,qwen4b_hybrid_rerank,category_hit/vague_short,0.918648,3605,0,495.964
per-variant,tok512ov,qwen4b,hit@1,0.693402,3865,0,6.938
per-variant,tok512ov,qwen4b,hit@5,0.896248,3865,0,6.938
per-variant,tok512ov,qwen4b,hit@10,0.929107,3865,0,6.938
per-variant,tok512ov,qwen4b,recall@10,0.929107,3865,0,6.938
per-variant,tok512ov,qwen4b,mrr@10,0.783321,3865,0,6.938
per-variant,tok512ov,qwen4b,category_hit/crosslingual,0.859307,3865,0,6.938
per-variant,tok512ov,qwen4b,category_hit/direct_long,0.963869,3865,0,6.938
per-variant,tok512ov,qwen4b,category_hit/direct_short,0.929152,3865,0,6.938
per-variant,tok512ov,qwen4b,category_hit/vague_long,0.895054,3865,0,6.938
per-variant,tok512ov,qwen4b,category_hit/vague_short,0.816374,3865,0,6.938
per-variant,tok512ov,qwen4b_hybrid_rerank,hit@1,0.765071,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,hit@5,0.935317,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,hit@10,0.959897,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,recall@10,0.959897,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,mrr@10,0.840187,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,category_hit/crosslingual,0.839827,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,category_hit/direct_long,0.988345,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,category_hit/direct_short,0.968641,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,category_hit/vague_long,0.936068,3865,0,498.432
per-variant,tok512ov,qwen4b_hybrid_rerank,category_hit/vague_short,0.899415,3865,0,498.432
per-variant,tok1024,qwen4b,hit@1,0.730531,1451,0,7.009
